,X,subject,trialN,subj_idx,response,rt,task,relativeValue,totalValue,memSlideScore,memChoiceScore,Left_sum,Right_sum,absRelativeValue,accuracy,arr_L,arr_R,N_L,N_R,L-R,|L-R|,trial_total,order,nValDiff,task2,value_type
51,51,hwrblsy3h,59,27,1,0.5152,experiment_FR,17,51,4,0.7,34,17,17,1,"[5, 2, 8, 4, 7, 8]","[4, 1, 1, 4, 1, 6]",5,3,2,2,52,FR_VB,2,Accuracy-Based Reward,Middle-Value
52,52,hwrblsy3h,60,27,0,0.5957,experiment_FR,-9,65,4,0.7,28,37,9,1,"[8, 5, 3, 3, 6, 3]","[8, 7, 8, 2, 7, 5]",4,4,0,0,53,FR_VB,0,Accuracy-Based Reward,High-Value
53,53,hwrblsy3h,61,27,0,0.9781,experiment_FR,-6,34,4,0.7,14,20,6,1,"[4, 1, 3, 3, 2, 1]","[1, 2, 8, 2, 3, 4]",4,5,-1,1,54,FR_VB,1,Accuracy-Based Reward,Low-Value
54,54,hwrblsy3h,62,27,0,0.6141,experiment_FR,0,50,4,0.7,25,25,0,1,"[7, 4, 1, 5, 6, 2]","[7, 3, 3, 6, 5, 1]",6,5,1,1,55,FR_VB,1,Accuracy-Based Reward,Middle-Value
55,55,hwrblsy3h,63,27,0,1.5442,experiment_FR,0,52,4,0.7,26,26,0,1,"[5, 7, 4, 7, 2, 1]","[1, 6, 4, 5, 3, 7]",5,6,-1,1,56,FR_VB,1,Accuracy-Based Reward,Middle-Value
56,56,hwrblsy3h,64,27,0,0.5937,experiment_FR,-13,45,4,0.7,16,29,13,1,"[4, 1, 3, 1, 6, 1]","[3, 7, 6, 6, 2, 5]",4,5,-1,1,57,FR_VB,1,Accuracy-Based Reward,Low-Value
57,57,hwrblsy3h,65,27,1,0.6112,experiment_FR,6,64,4,0.7,35,29,6,1,"[4, 4, 6, 8, 7, 6]","[3, 8, 6, 4, 4, 4]",4,4,0,0,58,FR_VB,0,Accuracy-Based Reward,High-Value
58,58,hwrblsy3h,66,27,1,0.8217,experiment_FR,3,65,4,0.7,34,31,3,1,"[8, 8, 2, 5, 7, 4]","[3, 7, 4, 4, 5, 8]",5,5,0,0,59,FR_VB,0,Accuracy-Based Reward,High-Value
59,59,hwrblsy3h,67,27,1,0.792,experiment_FR,3,49,4,0.7,26,23,3,1,"[3, 5, 3, 5, 3, 7]","[4, 4, 6, 3, 5, 1]",3,5,-2,2,60,FR_VB,2,Accuracy-Based Reward,Middle-Value
60,60,hwrblsy3h,68,27,1,0.9629,experiment_FR,-1,39,4,0.7,19,20,1,0,"[2, 1, 3, 2, 6, 5]","[2, 4, 1, 4, 4, 5]",5,4,1,1,61,FR_VB,1,Accuracy-Based Reward,Low-Value
61,61,hwrblsy3h,69,27,0,0.8821,experiment_FR,-6,52,4,0.7,23,29,6,1,"[4, 1, 8, 3, 6, 1]","[1, 7, 8, 4, 2, 7]",5,5,0,0,62,FR_VB,0,Accuracy-Based Reward,Middle-Value
62,62,hwrblsy3h,70,27,1,0.9222,experiment_FR,8,58,4,0.7,33,25,8,1,"[4, 7, 1, 8, 5, 8]","[3, 6, 2, 1, 7, 6]",5,5,0,0,63,FR_VB,0,Accuracy-Based Reward,Middle-Value
63,63,hwrblsy3h,71,27,0,0.5984,experiment_FR,-2,54,4,0.7,26,28,2,1,"[8, 5, 5, 3, 2, 3]","[5, 2, 3, 8, 7, 3]",4,5,-1,1,64,FR_VB,1,Accuracy-Based Reward,Middle-Value
64,64,hwrblsy3h,72,27,1,0.8405,experiment_FR,9,49,4,0.7,29,20,9,1,"[7, 7, 5, 3, 3, 4]","[6, 1, 1, 4, 6, 2]",4,4,0,0,65,FR_VB,0,Accuracy-Based Reward,Middle-Value
65,65,hwrblsy3h,73,27,0,0.751,experiment_FR,-4,52,4,0.7,24,28,4,1,"[4, 2, 4, 8, 3, 3]","[1, 5, 3, 3, 8, 8]",4,4,0,0,66,FR_VB,0,Accuracy-Based Reward,Middle-Value
66,66,hwrblsy3h,75,27,1,0.8952,experiment_FR,3,61,4,0.7,32,29,3,1,"[5, 7, 6, 8, 5, 1]","[5, 2, 7, 7, 4, 4]",5,4,1,1,67,FR_VB,1,Accuracy-Based Reward,High-Value
67,67,hwrblsy3h,76,27,0,1.0528,experiment_FR,-8,52,4,0.7,22,30,8,1,"[3, 3, 6, 5, 2, 3]","[3, 8, 2, 5, 5, 7]",4,5,-1,1,68,FR_VB,1,Accuracy-Based Reward,Middle-Value
68,68,hwrblsy3h,77,27,0,0.7325,experiment_FR,-7,47,4,0.7,20,27,7,1,"[3, 6, 2, 1, 5, 3]","[1, 8, 2, 8, 1, 7]",5,4,1,1,69,FR_VB,1,Accuracy-Based Reward,Low-Value
69,69,hwrblsy3h,78,27,1,0.9405,experiment_FR,7,47,4,0.7,27,20,7,1,"[1, 6, 6, 6, 2, 6]","[1, 2, 1, 4, 7, 5]",3,5,-2,2,70,FR_VB,2,Accuracy-Based Reward,Low-Value
70,70,hwrblsy3h,79,27,1,0.6774,experiment_FR,11,59,4,0.7,35,24,11,1,"[6, 8, 1, 5, 8, 7]","[6, 2, 5, 7, 2, 2]",5,4,1,1,71,FR_VB,1,Accuracy-Based Reward,Middle-Value
71,71,hwrblsy3h,81,27,0,1.13,experiment_FR,0,56,4,0.7,28,28,0,0,"[8, 6, 5, 5, 3, 1]","[8, 6, 1, 5, 5, 3]",5,5,0,0,72,FR_VB,0,Accuracy-Based Reward,Middle-Value
72,72,hwrblsy3h,82,27,1,0.7003,experiment_FR,7,61,4,0.7,34,27,7,1,"[6, 7, 5, 4, 8, 4]","[5, 4, 5, 3, 7, 3]",5,4,1,1,73,FR_VB,1,Accuracy-Based Reward,High-Value
73,73,hwrblsy3h,83,27,0,0.7264,experiment_FR,-9,75,4,0.7,33,42,9,1,"[4, 6, 8, 7, 1, 7]","[5, 7, 8, 7, 7, 8]",5,3,2,2,74,FR_VB,2,Accuracy-Based Reward,High-Value
74,74,hwrblsy3h,84,27,1,0.8995,experiment_FR,5,59,4,0.7,32,27,5,1,"[1, 8, 3, 5, 8, 7]","[2, 1, 8, 8, 5, 3]",5,5,0,0,75,FR_VB,0,Accuracy-Based Reward,Middle-Value
75,75,hwrblsy3h,85,27,1,1.0193,experiment_FR,6,56,4,0.7,31,25,6,1,"[6, 7, 3, 8, 5, 2]","[1, 2, 6, 4, 4, 8]",6,5,1,1,76,FR_VB,1,Accuracy-Based Reward,Middle-Value
76,76,hwrblsy3h,86,27,0,1.2386,experiment_FR,-14,40,4,0.7,13,27,14,1,"[4, 3, 1, 1, 1, 3]","[5, 5, 3, 4, 6, 4]",3,4,-1,1,77,FR_VB,1,Accuracy-Based Reward,Low-Value
77,77,hwrblsy3h,87,27,0,0.7533,experiment_FR,-7,43,4,0.7,18,25,7,1,"[5, 2, 4, 2, 3, 2]","[6, 8, 4, 3, 1, 3]",4,5,-1,1,78,FR_VB,1,Accuracy-Based Reward,Low-Value
78,78,hwrblsy3h,88,27,1,1.541,experiment_FR,5,65,4,0.7,35,30,5,1,"[3, 8, 8, 7, 5, 4]","[1, 6, 8, 2, 6, 7]",5,5,0,0,79,FR_VB,0,Accuracy-Based Reward,High-Value
79,79,hwrblsy3h,89,27,1,0.8746,experiment_FR,3,51,4,0.7,27,24,3,1,"[5, 5, 5, 3, 7, 2]","[3, 2, 8, 6, 2, 3]",4,4,0,0,80,FR_VB,0,Accuracy-Based Reward,Middle-Value
80,80,hwrblsy3h,90,27,0,1.0555,experiment_FR,1,53,4,0.7,27,26,1,0,"[4, 5, 5, 6, 3, 4]","[4, 7, 1, 5, 3, 6]",4,6,-2,2,81,FR_VB,2,Accuracy-Based Reward,Middle-Value
81,81,hwrblsy3h,91,27,1,0.4979,experiment_FR,6,52,4,0.7,29,23,6,1,"[6, 6, 2, 1, 6, 8]","[4, 1, 4, 4, 4, 6]",4,3,1,1,82,FR_VB,1,Accuracy-Based Reward,Middle-Value
82,82,hwrblsy3h,92,27,1,0.6988,experiment_FR,3,55,4,0.7,29,26,3,1,"[3, 2, 6, 6, 5, 7]","[3, 5, 1, 5, 4, 8]",5,5,0,0,83,FR_VB,0,Accuracy-Based Reward,Middle-Value
83,83,hwrblsy3h,93,27,0,0.7817,experiment_FR,0,48,4,0.7,24,24,0,0,"[3, 3, 6, 3, 1, 8]","[4, 8, 2, 5, 4, 1]",4,5,-1,1,84,FR_VB,1,Accuracy-Based Reward,Low-Value
84,84,hwrblsy3h,94,27,0,0.9325,experiment_FR,-5,39,4,0.7,17,22,5,1,"[1, 3, 6, 3, 2, 2]","[7, 4, 4, 3, 2, 2]",4,4,0,0,85,FR_VB,0,Accuracy-Based Reward,Low-Value
85,85,hwrblsy3h,95,27,0,0.9702,experiment_FR,-9,53,4,0.7,22,31,9,1,"[1, 4, 5, 2, 2, 8]","[7, 5, 4, 3, 4, 8]",5,5,0,0,86,FR_VB,0,Accuracy-Based Reward,Middle-Value
86,86,hwrblsy3h,96,27,1,0.8022,experiment_FR,0,50,4,0.7,25,25,0,0,"[4, 6, 1, 8, 4, 2]","[5, 6, 4, 2, 2, 6]",5,4,1,1,87,FR_VB,1,Accuracy-Based Reward,Middle-Value
87,87,hwrblsy3h,97,27,0,0.7695,experiment_FR,-6,56,4,0.7,25,31,6,1,"[6, 8, 3, 4, 3, 1]","[8, 8, 8, 2, 3, 2]",5,3,2,2,88,FR_VB,2,Accuracy-Based Reward,Middle-Value
88,88,hwrblsy3h,98,27,0,0.6357,experiment_FR,-4,58,4,0.7,27,31,4,1,"[8, 5, 1, 1, 4, 8]","[2, 7, 8, 1, 8, 5]",4,5,-1,1,89,FR_VB,1,Accuracy-Based Reward,Middle-Value
89,89,hwrblsy3h,99,27,1,0.6603,experiment_FR,3,49,4,0.7,26,23,3,1,"[2, 1, 3, 7, 6, 7]","[8, 3, 1, 4, 3, 4]",5,4,1,1,90,FR_VB,1,Accuracy-Based Reward,Middle-Value
90,90,hwrblsy3h,100,27,1,1.0923,experiment_FR,-3,47,4,0.7,22,25,3,0,"[8, 1, 8, 2, 2, 1]","[4, 8, 3, 4, 3, 3]",3,3,0,0,91,FR_VB,0,Accuracy-Based Reward,Low-Value
91,91,hwrblsy3h,101,27,1,0.4788,experiment_FR,-1,71,4,0.7,35,36,1,0,"[8, 5, 6, 8, 2, 6]","[6, 4, 7, 8, 6, 5]",4,5,-1,1,92,FR_VB,1,Accuracy-Based Reward,High-Value
92,92,hwrblsy3h,102,27,0,0.7246,experiment_FR,-7,61,4,0.7,27,34,7,1,"[2, 3, 8, 7, 6, 1]","[6, 8, 7, 6, 6, 1]",6,4,2,2,93,FR_VB,2,Accuracy-Based Reward,High-Value
93,93,hwrblsy3h,103,27,0,0.77,experiment_FR,-16,62,4,0.7,23,39,16,1,"[4, 1, 8, 3, 5, 2]","[6, 8, 3, 8, 8, 6]",6,3,3,3,94,FR_VB,3,Accuracy-Based Reward,High-Value
94,94,hwrblsy3h,104,27,1,0.9694,experiment_FR,4,62,4,0.7,33,29,4,1,"[2, 5, 7, 5, 7, 7]","[4, 2, 7, 7, 4, 5]",3,4,-1,1,95,FR_VB,1,Accuracy-Based Reward,High-Value
95,95,hwrblsy3h,105,27,1,1.0361,experiment_FR,4,42,4,0.7,23,19,4,1,"[2, 1, 4, 2, 8, 6]","[3, 3, 3, 1, 7, 2]",5,4,1,1,96,FR_VB,1,Accuracy-Based Reward,Low-Value
96,96,hwrblsy3h,106,27,1,0.7861,experiment_FR,8,56,4,0.7,32,24,8,1,"[5, 4, 8, 8, 3, 4]","[6, 2, 7, 1, 2, 6]",4,4,0,0,97,FR_VB,0,Accuracy-Based Reward,Middle-Value
97,97,hwrblsy3h,107,27,0,0.8033,experiment_FR,-5,65,4,0.7,30,35,5,1,"[1, 3, 5, 8, 7, 6]","[6, 3, 8, 3, 7, 8]",6,4,2,2,98,FR_VB,2,Accuracy-Based Reward,High-Value
98,98,hwrblsy3h,108,27,0,0.8589,experiment_FR,-4,50,4,0.7,23,27,4,1,"[4, 4, 1, 7, 1, 6]","[5, 4, 6, 2, 2, 8]",4,5,-1,1,99,FR_VB,1,Accuracy-Based Reward,Middle-Value
99,99,hwrblsy3h,109,27,0,0.7591,experiment_FR,-15,39,4,0.7,12,27,15,1,"[1, 1, 2, 3, 3, 2]","[6, 5, 5, 3, 7, 1]",3,5,-2,2,100,FR_VB,2,Accuracy-Based Reward,Low-Value
100,100,hwrblsy3h,110,27,0,0.7531,experiment_FR,-5,61,4,0.7,28,33,5,1,"[3, 5, 7, 2, 3, 8]","[5, 4, 7, 8, 7, 2]",5,5,0,0,101,FR_VB,0,Accuracy-Based Reward,High-Value
101,101,hwrblsy3h,111,27,0,0.7755,experiment_FR,-7,51,4,0.7,22,29,7,1,"[7, 3, 1, 4, 5, 2]","[1, 5, 7, 6, 5, 5]",6,4,2,2,102,FR_VB,2,Accuracy-Based Reward,Middle-Value
