,subj_idx,response,rt,dif,Info,Third,skew
311,2,1,1.1875,5,MV,low,
312,2,1,1.6783,2,MV,low,
313,2,1,2.4799,3,MV,mid,
314,2,1,2.8622,1,MV,mid,
315,2,1,2.707,1,EV,low,
316,2,1,1.405,2,EV,low,
317,2,1,1.8866,2,EV,low,
318,2,1,1.0146,4,EV,low,
319,2,0,1.6084,1,EV,low,
320,2,1,1.739,2,EV,low,
321,2,1,1.3843,2,EV,low,
322,2,1,1.3234,2,EV,low,
323,2,0,1.3459,3,EV,low,
324,2,0,3.4145,1,EV,low,
325,2,1,3.4163,1,EV,low,
326,2,1,2.4265,3,EV,low,
327,2,1,1.5085,4,EV,low,
328,2,1,2.3394,3,EV,low,
329,2,1,2.8003,2,MV,mid,
330,2,1,1.7946,1,MV,low,
331,2,1,1.3893,3,MV,high,
332,2,1,1.0488,1,MV,high,
333,2,1,3.0417,5,MV,mid,
334,2,1,1.9628,3,MV,mid,
335,2,1,1.7192,2,MV,mid,
336,2,1,2.0207,1,MV,low,
337,2,1,1.503,2,MV,high,
338,2,1,3.0055,1,MV,low,
339,2,0,1.1843,4,MV,low,
340,2,1,3.1232,3,MV,mid,
341,2,1,1.8343,4,MV,high,
342,2,1,1.9634,2,MV,high,
343,2,1,2.6713,3,MV,low,
344,2,1,0.98366,4,EV,high,
345,2,1,3.9468,1,EV,high,
346,2,1,2.0637,3,EV,high,
347,2,1,2.1599,2,EV,high,
348,2,1,0.91639,5,EV,high,
349,2,1,0.7329,3,EV,high,
350,2,1,2.4101,2,EV,high,
351,2,1,2.0368,3,EV,high,
352,2,0,2.3903,1,EV,high,
353,2,1,1.2497,4,EV,high,
354,2,1,2.0904,3,EV,high,
355,2,1,1.1168,3,EV,high,
356,2,1,2.0991,1,EV,high,
357,2,1,1.1744,5,MV,mid,
358,2,1,1.3381,3,MV,low,
359,2,1,1.6239,5,MV,mid,
360,2,1,1.8498,3,MV,high,
361,2,1,0.96296,3,MV,high,
362,2,1,2.0467,1,MV,low,
363,2,1,2.4238,3,MV,low,
364,2,1,1.273,4,MV,mid,
365,2,1,2.1206,1,MV,high,
366,2,1,2.7023,2,MV,high,
367,2,1,1.005,5,MV,low,
368,2,1,2.0796,1,MV,low,
369,2,0,1.0634,3,MV,high,
370,2,1,1.6715,4,MV,mid,
371,2,1,3.1754,5,MV,mid,
372,2,1,3.3688,2,EV,mid,
373,2,1,1.061,4,EV,mid,
374,2,1,1.0615,3,EV,mid,
375,2,1,1.7818,2,EV,mid,
376,2,1,2.4329,2,EV,mid,
377,2,0,1.5945,1,EV,mid,
378,2,1,1.9087,3,EV,mid,
379,2,1,1.4118,1,EV,mid,
380,2,1,1.2696,3,EV,mid,
381,2,1,1.4379,1,EV,mid,
382,2,1,0.94297,4,EV,mid,
383,2,0,1.7327,3,EV,mid,
384,2,1,0.84966,3,EV,mid,
385,2,1,1.8431,3,EV,mid,
386,2,1,0.66811,3,EV,mid,
387,2,1,2.1255,3,MV,low,
388,2,1,1.8514,5,MV,low,
389,2,1,2.044,1,MV,high,
390,2,1,1.6527,3,MV,high,
391,2,1,2.7817,3,MV,low,
392,2,1,1.8564,4,MV,low,
393,2,1,1.2976,2,MV,mid,
394,2,1,1.488,1,MV,high,
395,2,1,1.8796,2,MV,mid,
396,2,1,1.439,1,MV,mid,
397,2,1,1.7682,1,MV,mid,
398,2,1,2.2603,1,MV,low,
399,2,1,1.1093,4,MV,mid,
400,2,0,2.372,1,MV,high,
401,2,1,2.6323,3,MV,high,
402,2,1,3.0129,1,EV,low,
403,2,1,3.2306,5,EV,low,
404,2,1,1.8637,5,EV,low,
405,2,1,1.2162,3,EV,low,
406,2,0,3.1621,1,EV,low,
407,2,1,2.2873,1,EV,low,
408,2,1,0.70159,4,EV,low,
409,2,1,1.2767,4,EV,low,
410,2,1,2.8999,3,EV,low,
411,2,1,3.1146,3,EV,low,
412,2,1,2.0649,1,EV,low,
413,2,1,3.0652,4,EV,low,
414,2,1,1.8726,3,EV,low,
415,2,1,1.929,3,EV,low,
416,2,1,1.1424,2,EV,low,
417,2,1,3.0016,2,MV,mid,
418,2,1,1.6038,5,MV,high,
419,2,1,0.96651,4,MV,high,
420,2,1,1.9629,1,MV,mid,
421,2,1,2.0065,2,MV,low,
422,2,1,2.7931,3,MV,low,
423,2,1,2.509,2,MV,mid,
424,2,1,1.2276,2,MV,high,
425,2,1,1.3167,2,MV,high,
426,2,1,1.3155,3,MV,low,
427,2,1,2.2456,4,MV,low,
428,2,1,3.3744,2,MV,low,
429,2,1,1.1145,2,MV,mid,
430,2,1,1.1531,1,MV,high,
431,2,1,1.009,4,EV,low,
432,2,1,1.0275,5,EV,low,
433,2,1,0.74144,3,EV,low,
434,2,1,0.9867,4,EV,low,
435,2,1,1.4221,2,EV,low,
436,2,1,1.2082,2,EV,low,
437,2,1,1.403,3,EV,low,
438,2,0,2.7974,3,EV,low,
439,2,1,2.4003,1,EV,low,
440,2,1,2.2588,2,EV,low,
441,2,1,1.8439,3,EV,low,
442,2,1,1.7574,4,EV,low,
443,2,1,1.3059,3,EV,low,
444,2,1,1.3209,3,EV,low,
445,2,1,2.7904,3,EV,low,
446,2,1,2.0371,2,MV,low,
447,2,1,1.5338,4,MV,high,
448,2,1,1.7498,4,MV,high,
